code,name,credit,description
THE 411,From Modern to Postmodern Theology,3,"Limited Advanced seminar course. Covers the challenges to traditional theology in the Enlightenment period in the 18th 
Century. Examines various responses to modernism from the 19th to the 21st centuries, beginning with Classic Liberal 
Theology, Fundamentalism, Mediating Theologies, Neo-Orthodox Theologies, Neo-Liberal Theologies, Bonhoeffer and 
Radical Thought, and Evangelical Theology, and concluding with the Postmodern revolt against Modernity. A basic 
prerequisite knowledge of philosophy and theology will benefit the students in this class. 
Prerequisite:"
TSL 321,Essential Linguistics for Teachers of English Language Learners,2,"Odd Falls Examines English linguistics for those preparing to teach English to non-native speakers of English. Compares different 
theories of language development and how grammar, reading, writing, and spelling instruction fit into current 
practices of language teaching. ""C"" or better required."
TSL 326,Methods and Materials for Teachers of English Language Learners,4,"Odd Springs Focuses on the pedagogical aspects of teaching English and the preparation of teaching materials for classroom use. 
Explores integrated methods and strategies for teaching listening, speaking, reading, and writing to ELLs of diverse 
backgrounds and levels. Requires highly constructive class participation and responsible out-of-class lesson 
assignment preparation for the practicum. ""B-"" or better required. 
Prerequisite:
TSL 311,Cross Cultural Communication or TSL 321 Essential Linguistics for Teachers of ELL. 
 "
TSL 327, Teaching Grammar for English Language Learners,2,"Even Falls Online Enhances the classroom instruction for teachers of beginning and intermediate English Language Learners by blending 
classroom strategies with the study of the most important grammatical structures of English for speaking and writing. 
Students develop metalanguage skills for describing grammar correction. Students study different language groups in 
order to understand the most frequent error types for these languages. ""B-"" or better required. 
Prerequisite:"
VID 202,Video Production,4,"Spring Explores principles of visual storytelling through TV studio and digital field production. Introduces TV studio 
operations, control room, and field equipment. Individual and group production of studio and field video projects."
VID 306,Advanced Video Production,4,"Fall Concentrated instruction and enriched experience in TV studio and field video production. Introduces producing and 
directing. Involves individual and group production of studio and field video projects. 
Prerequisite:"
VID 315,Design Tools: Premiere Pro,1,Interim Students edit video using the tools of Adobe Premiere Pro. Must have access to Adobe Premiere Pro software.
VID 324,Introduction to Film,3,"Odd Springs Examines vocabulary, methods, and principles of film by focusing on the systems of meaning that make film the 
sophisticated art form it is. Topics include visual design (including composition, color, and lighting), editing, 
cinematography, narrative structure, acting, sound, and music as separate systems of meaning that derive new 
meanings and use new methods when combined in film art."
VID 334,Film Theory and History,3,"Limited Exposes students to film as an art form. Emphasizes theoretical perspectives as a means of understanding film as a 
sophisticated synthesis of different forms of art. Topics include the historical development of artistry in film, basic 
elements of film as different systems of meaning, various approaches to analyzing film components, significant 
movements in the history of film, and various theoretical perspectives on film as an art form."
VID 372,Short Film Production,3,"Fall, Spring Focuses on the pre-production, production, post-production, and distribution processes of making independent films. 
Students fulfill various roles as director, producer, cinematographer, editor, production assistants, and writers. A 
different role may be assumed each semester repeated. New films are produced each semester. Can be repeated. "

VID 376,Editing,3,"Even Falls Students work with the tools used by film and video editors as they apply to the practice of visual storytelling. 
Explores best practices for working in a digital environment. Examines standard video editing theories and techniques.  
Prerequisite:"
WRT 306,Writing for Children,3,"Online Reviews skills and techniques for writing fiction and nonfiction for children. Publication strategies and current markets 
will also be reviewed. Students prepare a portfolio and submit articles for publication."
WRT 310,Multimedia Reporting,3,"Even Falls Explores the changing concepts of news and the impact of media convergence and practice collecting information and 
constructing stories for radio, television, web, and social media platforms. Requires off-campus reporting experiences."
WRT 316,Copy Editing,3,Limited Emphasizes mastery of a craft and principles of editing copy for various media. Includes headline writing and layout.
